Network_zones,Network_Lines,z1,z2,z3,z4,z5,z6,Line_Max_Flow_MW,Line_Min_Flow_MW,transmission_path_name,Line_Reinforcement_Cost_per_MWyr,Line_Reinforcement_Cost_per_MW,Line_Loss_Percentage,Line_Max_Reinforcement_MW
z1,1,1,-1,0,0,0,0,3675.0,3675.0,CA_N_to_CA_S,59417.0,1226639.0,0.0649,2572.0
z2,2,1,0,-1,0,0,0,100.0,100.0,CA_N_to_WECC_N,62090.0,1281823.0,0.0649,70.0
z3,3,1,0,0,0,-1,0,3675.0,3675.0,CA_N_to_WECC_PNW,81821.0,1689150.0,0.0649,2572.0
z4,4,0,1,-1,0,0,0,1400.0,1400.0,CA_S_to_WECC_N,52867.0,1091409.0,0.0649,980.0
z5,5,0,1,0,-1,0,0,10464.0,10464.0,CA_S_to_WECC_NMAZ,57757.0,1192369.0,0.0649,7325.0
z6,6,0,1,0,0,-1,0,2858.0,2858.0,CA_S_to_WECC_PNW,93397.0,1928141.0,0.0649,2001.0
,7,0,0,1,-1,0,0,740.0,740.0,WECC_N_to_WECC_NMAZ,54734.0,1129966.0,0.0649,518.0
,8,0,0,1,0,-1,0,5150.0,5150.0,WECC_N_to_WECC_PNW,76658.0,1582563.0,0.0649,3605.0
,9,0,0,1,0,0,-1,4150.0,4150.0,WECC_N_to_WECC_WYCO,39873.0,823153.0,0.0649,2905.0
,10,0,0,0,1,0,-1,664.0,664.0,WECC_NMAZ_to_WECC_WYCO,69755.0,1440060.0,0.0649,465.0
